"resource_type","latitude","longitude"
"restroom",37.7552601,-122.4051895
"restroom",37.810759,-122.410441
"restroom",37.810489,-122.410821
"drinking_water",37.767503,-122.386062
"drinking_water",37.74198175,-122.41632773
"drinking_water",37.7433639,-122.48072331
"restroom",37.76671178060086,-122.45600547939162
"drinking_water",37.76941332,-122.43349091
"restroom",37.78702293940326,-122.47178156987887
"drinking_water",37.779903069999996,-122.4173059
"restroom",37.758088722072635,-122.41344367216318
"restroom",37.76275999979258,-122.45197359512166
"drinking_water",37.75712697,-122.48691579000001
"drinking_water",37.79523887500005,-122.41008249499998
"drinking_water",37.76262003,-122.45170249
"drinking_water",37.775397,-122.388882
"restroom",37.7855716,-122.4180901
"drinking_water",37.73083879,-122.38377726
"drinking_water",37.72220338,-122.41308384999999
"drinking_water",37.78641132,-122.43227245
"drinking_water",37.777369549999996,-122.40646207
"drinking_water",37.70863367,-122.45545231999999
"restroom",37.77135493025545,-122.39873334886664
"drinking_water",37.75959507,-122.42274035000001
"drinking_water",37.751672340000006,-122.45583377
"restroom",37.739129517709415,-122.44952483192755
"drinking_water",37.783704740000005,-122.4350831
"drinking_water",37.72209608,-122.42064774999999
"drinking_water",37.752094240000005,-122.46505759
"drinking_water",37.78069459,-122.42684636
"restroom",37.76745061878301,-122.45405121776848
"drinking_water",37.78087938,-122.42537902999999
"restroom",37.72640027156061,-122.44323590203872
"drinking_water",37.71511356,-122.45624226999999
"drinking_water",37.76480722,-122.40910427
"drinking_water",37.7958357,-122.41043562
"restroom",37.783353,-122.41769
"drinking_water",37.79429085,-122.41169429000001
"restroom",37.73559816229882,-122.478895784974
"drinking_water",37.74789871,-122.49752443
"restroom",37.73712250106413,-122.42058678323947
"restroom",37.75167265818647,-122.45588190223849
"drinking_water",37.76334875500004,-122.47631075399994
"drinking_water",37.750123800000004,-122.41247425
"restroom",37.738312761309125,-122.41599756145315
"drinking_water",37.75609621,-122.39683774
"drinking_water",37.74686045,-122.41325643
"restroom",37.77677036001743,-122.406057796802
"drinking_water",37.769174410000005,-122.45878341
"drinking_water",37.79172534,-122.40516294000001
"drinking_water",37.72368991,-122.42308907
"drinking_water",37.775948,-122.389857
"drinking_water",37.78538709,-122.41824809
"drinking_water",37.77606960000001,-122.42741293
"restroom",37.7858991,-122.4119361
"drinking_water",37.78537896,-122.41809575
"drinking_water",37.76799815,-122.50821339000001
"restroom",37.73388037458533,-122.44827767552806
"restroom",37.76800126751249,-122.49647617853708
"drinking_water",37.76948934,-122.48477770000001
"drinking_water",37.801492,-122.43324
"restroom",37.728526970911986,-122.46602410190815
"drinking_water",37.71604522,-122.45732734
"drinking_water",37.7174815,-122.47038418
"restroom",37.768256203141554,-122.45824806017865
"drinking_water",37.7885318,-122.44979582
"drinking_water",37.76828888,-122.45471818
"drinking_water",37.733980204000034,-122.43383315499995
"drinking_water",37.782862370000004,-122.4908413
"restroom",37.76698914381392,-122.45335127496453
"drinking_water",37.733856370000005,-122.44819921
"restroom",37.79502053126163,-122.40533899196147
"restroom",37.76957923756153,-122.43457746937769
"restroom",37.7571167,-122.4056906
"restroom",37.722952321382685,-122.41856158698465
"restroom",37.7801432,-122.4130822
"drinking_water",37.765307750000005,-122.44027741000001
"drinking_water",37.75124303,-122.43900085
"drinking_water",37.72092385,-122.4169242
"restroom",37.72518013090619,-122.44422317580951
"drinking_water",37.76624576,-122.45578884999999
"restroom",37.78453259984284,-122.43517781586444
"drinking_water",37.78749354,-122.46841839
"drinking_water",37.779081776000055,-122.41615205
"restroom",37.77375254047893,-122.45599542644344
"restroom",37.720234550340486,-122.43358551158578
"drinking_water",37.8829335,-119.85584307
"restroom",37.72560824692619,-122.49952830769824
"drinking_water",37.77133061999999,-122.49904042
"restroom",37.809195,-122.416145
"drinking_water",37.76699475,-122.45742193000001
"drinking_water",37.783196,-122.461368
"drinking_water",37.74316235800006,-122.47934506399997
"drinking_water",37.76416762,-122.42024527
"restroom",37.7644801806687,-122.50495827514384
"drinking_water",37.71242807,-122.48940363
"restroom",37.76820061034034,-122.45894632494796
"drinking_water",37.71454851,-122.40582609
"drinking_water",37.72925378,-122.40981943
"restroom",37.79124662417517,-122.43816772732552
"drinking_water",37.756840159999996,-122.48690400000001
"drinking_water",37.77856950700004,-122.49725809499995
"restroom",37.731975489734644,-122.44079024379074
"drinking_water",37.78787928,-122.40697734999999
"restroom",37.77906456359353,-122.45837511234984
"drinking_water",37.88092731,-119.85141528999999
"drinking_water",37.73655273,-122.44078843000001
"drinking_water",37.801373632000036,-122.43413566499999
"restroom",37.740119,-122.37597
"drinking_water",37.76845387,-122.45704844999999
"restroom",37.75003212278121,-122.40660090433185
"drinking_water",37.7594717,-122.42710577
"drinking_water",37.794609220000005,-122.4055779
"drinking_water",37.76985328000001,-122.43960652999999
"restroom",37.73797742460086,-122.38413496380761
"restroom",37.806654380000005,-122.44255444999999
"restroom",37.80244444556374,-122.40586285398844
"drinking_water",37.793623919999995,-122.40706236
"drinking_water",37.76723487,-122.4551506
"drinking_water",37.7671838,-122.50799349
"drinking_water",37.747917900000004,-122.43840181
"drinking_water",37.88344952,-119.85691668
"drinking_water",37.73328,-122.38366
"restroom",37.769805558070935,-122.46865196151226
"drinking_water",37.727114209000035,-122.40636172399996
"drinking_water",37.74428399,-122.41949464
"drinking_water",37.73193828,-122.44074053000001
"drinking_water",37.7668042,-122.5081866
"drinking_water",37.760315,-122.412135
"restroom",37.780618140084194,-122.42585416102061
"drinking_water",37.759443069999996,-122.42240855
"drinking_water",37.760135940000055,-122.39766410099998
"drinking_water",37.729370370000005,-122.40967733
"drinking_water",37.765245,-122.388254
"restroom",37.7682576,-122.4210014
"drinking_water",37.72325489,-122.42086562
"restroom",37.71599531472845,-122.42456403444783
"drinking_water",37.739575,-122.385795
"drinking_water",37.78659464,-122.39431446
"drinking_water",37.73885128400008,-122.41610523099996
"restroom",37.80148454613275,-122.43318577042552
"drinking_water",37.80052348,-122.40978817
"restroom",37.71489675900471,-122.43204290963838
"drinking_water",37.78184424500006,-122.46809920399994
"drinking_water",37.78413,-122.446083
"drinking_water",37.80117853,-122.41699363
"drinking_water",37.74272967,-122.42702128
"drinking_water",37.76406037000004,-122.43188171699995
"restroom",37.79738737216096,-122.44467421677261
"drinking_water",37.71923967,-122.41283289
"drinking_water",37.88353679,-119.85689759
"drinking_water",37.770220300000005,-122.45937143
"restroom",37.73620116438634,-122.4782232264926
"drinking_water",37.76005676966667,-122.50964406357181
"drinking_water",37.79129,-122.399052
"drinking_water",37.713791050000005,-122.42993905
"drinking_water",37.770941179999994,-122.4990186
"restroom",37.7832058,-122.4108252
"restroom",37.79362870986695,-122.40704782153728
"drinking_water",37.75767698999999,-122.41509849
"drinking_water",37.72247859,-122.41423995
"restroom",37.73959648188863,-122.47617042952423
"restroom",37.78340553001032,-122.47809345349741
"drinking_water",37.79897,-122.39703
"drinking_water",37.75081965,-122.49832207
"drinking_water",37.80168741,-122.44791246
"drinking_water",37.75145679,-122.43894593
"restroom",37.7340389,-122.3908134
"restroom",37.79542,-122.39363
"drinking_water",37.793789,-122.392106
"drinking_water",37.779580769999995,-122.47777182
"out_of_service",37.76302,-122.38734
"drinking_water",37.74195626,-122.46517038
"drinking_water",37.71413776700007,-122.46597082599999
"drinking_water",37.792078270000005,-122.41238226
"restroom",37.74066815988966,-122.44236800766512
"restroom",37.79573314221017,-122.42054753311785
"drinking_water",37.7381107,-122.38409678000001
"drinking_water",37.75910877,-122.40447578
"drinking_water",37.75145352,-122.43894560000001
"drinking_water",37.74160522659025,-122.50724371148618
"drinking_water",37.76752894,-122.45629948
"drinking_water",37.741738760000004,-122.46518013000001
"drinking_water",37.76379718,-122.41555593999999
"drinking_water",37.709755969999996,-122.44678565000001
"drinking_water",37.77571849,-122.43461824
"restroom",37.734068492410614,-122.42170662551818
"drinking_water",37.76750663,-122.45566955000001
"restroom",37.7797652,-122.4136255
"drinking_water",37.77082798,-122.50299987
"drinking_water",37.720084209999996,-122.43381224000001
"restroom",37.79171974893089,-122.40509211818922
"restroom",37.769905471421275,-122.45428183846612
"restroom",37.80259938123957,-122.40605250572062
"restroom",37.80215891886645,-122.448793308729
"drinking_water",37.77212148,-122.44773409
"restroom",37.758220490065916,-122.4127976783385
"drinking_water",37.76807818,-122.45792483
"restroom",37.8087256,-122.4155803
"restroom",37.802780865258775,-122.41222087359928
"restroom",37.71413459070176,-122.42329114112185
"drinking_water",37.803614810000006,-122.42127041
"restroom",37.76689068128529,-122.50766568323402
"drinking_water",37.775369728000044,-122.39309738399999
"drinking_water",37.76998547,-122.45421166
"drinking_water",37.796788830000025,-122.429023471
"drinking_water",37.72713052100005,-122.43331540999998
"drinking_water",37.71272269,-122.42731924
"restroom",37.7649465,-122.4200173
"restroom",37.74997657488508,-122.41197072408411
"drinking_water",37.74424931,-122.44036073999999
"restroom",37.78532679622686,-122.47796162062481
"restroom",37.7521752,-122.4185771
"drinking_water",37.76453537,-122.50499564
"drinking_water",37.80227028,-122.40594449
"drinking_water",37.75022804200006,-122.43509024199994
"drinking_water",37.783709050000006,-122.4354035
"drinking_water",37.713925100000004,-122.41632703
"drinking_water",37.880923349999996,-119.85138187
"restroom",37.767267840268474,-122.50798559173633
"restroom",37.77260711019376,-122.46078915491172
"drinking_water",37.75991581,-122.4362927
"restroom",37.7767602,-122.4060242
"restroom",37.76888801773871,-122.47084604293474
"restroom",37.749905738380605,-122.41234394466201
"restroom",37.76854971802402,-122.45898101337505
"drinking_water",37.795084530000004,-122.40538465
"drinking_water",37.7766746,-122.433905
"drinking_water",37.72405708700006,-122.45626482999995
"drinking_water",37.75633921,-122.39705544
"drinking_water",37.76408455,-122.41599351999999
"drinking_water",37.765617,-122.412366
"drinking_water",37.71770235,-122.47036815
"restroom",37.74244647159215,-122.42843387178414
"drinking_water",37.77092973,-122.47696558
"drinking_water",37.77201687,-122.47114771000001
"drinking_water",37.7589939,-122.41823058
"drinking_water",37.73663641,-122.44061654000001
"restroom",37.79172382012726,-122.42815243343853
"drinking_water",37.77352793,-122.4869876
"restroom",37.77310559016735,-122.49848816074777
"drinking_water",37.71509082,-122.45890729
"drinking_water",37.79131424,-122.42861961
"restroom",37.7168010634532,-122.38835499090985
"restroom",37.754352377295625,-122.41391608902443
"restroom",37.719149523186175,-122.4126962340035
"drinking_water",37.785211870000005,-122.47790052
"restroom",37.7815472,-122.4092388
"restroom",37.739739593729915,-122.37539271248393
"drinking_water",37.752333,-122.418141
"drinking_water",37.77799694,-122.45769442
"restroom",37.7842471,-122.4177342
"drinking_water",37.76699488,-122.45332846
"restroom",37.80567366353541,-122.44826248305823
"drinking_water",37.76699119,-122.45332948
"restroom",37.73247219967324,-122.37603821479243
"drinking_water",37.78074058,-122.42663065999999
"restroom",37.777987531028245,-122.45767116556969
"restroom",37.77355496507794,-122.48688861878719
"restroom",37.74353236081232,-122.48092128937846
"drinking_water",37.80261305,-122.41204767
"restroom",37.71408971379147,-122.42331647505156
"drinking_water",37.79118303,-122.43717433
"restroom",37.71434069987213,-122.44983895970809
"restroom",37.76059,-122.38563
"restroom",37.766786536410606,-122.49279315543468
"drinking_water",37.760841940000006,-122.42756989
"restroom",37.766805148049556,-122.4683584852519
"drinking_water",37.72594393,-122.49985018
"restroom",37.80914,-122.409882
"restroom",37.72539339194417,-122.39337823570945
"drinking_water",37.76398718,-122.39912815000001
"restroom",37.713562701693014,-122.43000619846528
"drinking_water",37.735292,-122.376172
"restroom",37.73806926327971,-122.49828821730263
"restroom",37.749447,-122.4116183
"restroom",37.729207014099,-122.4097418452673
"drinking_water",37.75812855,-122.41306199
"drinking_water",37.777127019999995,-122.40618904
"restroom",37.770514635076275,-122.46947015151655
"drinking_water",37.73918604,-122.38562639999999
"restroom",37.72617621720311,-122.44515610209349
"restroom",37.794611401480445,-122.40563810471431
"restroom",37.71496823152588,-122.43189818017898
"restroom",37.75940474502767,-122.42242458308023
"restroom",37.746283168602446,-122.43968177852058
"drinking_water",37.77273831,-122.45794472
"restroom",37.738337578210796,-122.48372258791242
"restroom",37.80129138272988,-122.41678430772167
"drinking_water",37.75154545,-122.46518977000001
"restroom",37.76388493563467,-122.39892775694433
"restroom",37.73307159776936,-122.382577828637
"drinking_water",37.76735541,-122.50800819999999
"restroom",37.71630766055233,-122.4574613171202
"drinking_water",37.76918435,-122.50650309000001
"drinking_water",37.77023246,-122.4955183
"restroom",37.79126963424543,-122.45371329325805
"restroom",37.811076,-122.410559
"drinking_water",37.788910970000074,-122.44485234499996
"restroom",37.743551594363424,-122.48070841032101
"restroom",37.73370386440429,-122.4473554240948
"restroom",37.71335158908368,-122.41572366681596
"drinking_water",37.739104590000004,-122.44949347
"drinking_water",37.72582319,-122.44334099
"restroom",37.782315528202496,-122.4356163934808
"restroom",37.778694,-122.387639
"restroom",37.7946278,-122.394598
"restroom",37.76959000789354,-122.51011435778473
"restroom",37.7428,-122.387319
"drinking_water",37.7803467,-122.3877
"restroom",37.73226037152034,-122.37577103552854
"drinking_water",37.71245320600008,-122.40788422599996
"drinking_water",37.709598809999996,-122.44705578
"drinking_water",37.72214673,-122.42056917000001
"restroom",37.734686763218136,-122.38948264733973
"restroom",37.73785746068678,-122.47571156115694
"drinking_water",37.76735,-122.420036
"restroom",37.77590945664165,-122.42765945401244
"drinking_water",37.78697197,-122.46779968999999
"restroom",37.77662044551919,-122.43391065502786
"drinking_water",37.78433308,-122.41220833999999
"drinking_water",37.79159628,-122.42817795
"drinking_water",37.784118524000064,-122.43748930299995
"restroom",37.73088520798447,-122.3837328418327
"restroom",37.7627732,-122.4348053
"drinking_water",37.767927639999996,-122.50184764000001
"restroom",37.7825365,-122.4157402
"restroom",37.732517086819065,-122.40239900743153
"drinking_water",37.770745489999996,-122.49897683
"drinking_water",37.77055703,-122.48014117999999
"restroom",37.76079354207481,-122.42768731036253
"restroom",37.806636336844214,-122.44262145562115
"drinking_water",37.75014599,-122.46853686
"restroom",37.77098213346722,-122.47687712953481
"restroom",37.7694207259486,-122.49309991733551
"drinking_water",37.791240040000005,-122.43819734
"drinking_water",37.7543903,-122.41381917
"drinking_water",37.76742129,-122.50832979
"restroom",37.77044558810346,-122.46944634056557
"restroom",37.7370245859576,-122.44076950422266
"restroom",37.8004679,-122.4097323
"restroom",37.765610267944155,-122.43757489547629
"drinking_water",37.770135518000075,-122.45100115999998
"drinking_water",37.77239136,-122.44766618999999
"drinking_water",37.766167180000004,-122.45630313
"drinking_water",37.740119,-122.37597
"restroom",37.772367034054554,-122.44766297493844
"drinking_water",37.737115259999996,-122.42056082
"drinking_water",37.78685506,-122.47042906
"restroom",37.72466408783124,-122.49365476427315
"drinking_water",37.78266867,-122.41594617999999
"drinking_water",37.76724865,-122.45680306
"restroom",37.722389879019694,-122.41438687566155
"drinking_water",37.79429125,-122.41169415
"restroom",37.75856332910622,-122.42641901416427
"drinking_water",37.734648,-122.390524
"drinking_water",37.71440079,-122.42886245999999
"drinking_water",37.72579634,-122.39330733
"drinking_water",37.77916559,-122.41722141
"drinking_water",37.766095809999996,-122.50844350999999
"restroom",37.71521921017252,-122.43182548843647
"restroom",37.79566305898598,-122.41036014811358
"drinking_water",37.75196896600005,-122.41982646399998
"drinking_water",37.73294746,-122.42105235000001
"drinking_water",37.772695809999995,-122.4552027
"restroom",37.76025855824598,-122.43646112984024
"drinking_water",37.742691,-122.387441
"drinking_water",37.77163407,-122.49513617999999
"restroom",37.79689,-122.39505
"drinking_water",37.76936533,-122.49313417
"drinking_water",37.79542,-122.39363
"restroom",37.776348,-122.388505
"drinking_water",37.72928423,-122.40970257000001
"restroom",37.782884097867246,-122.49085411307503
"drinking_water",37.7814174,-122.4020001
"drinking_water",37.72905284,-122.41024195
"restroom",37.7682426,-122.4534175
"drinking_water",37.77239053,-122.46012938
"drinking_water",37.74137018500005,-122.46614395199998
"restroom",37.72515055880462,-122.44552972539844
"drinking_water",37.784799650000004,-122.41547704
"restroom",37.7787317,-122.4169278
"drinking_water",37.776548,-122.389769
"restroom",37.7675953,-122.5107794
"drinking_water",37.7957183,-122.42048043
"drinking_water",37.776004,-122.388026
"drinking_water",37.73787943,-122.48463806
"drinking_water",37.772400649999994,-122.44772931
"restroom",37.7841238,-122.4122697
"drinking_water",37.717325280000004,-122.38717889
"restroom",37.77878684551738,-122.40633918397188
"restroom",37.76638470261748,-122.476697089109
"drinking_water",37.71767026,-122.47010350000001
"restroom",37.73921045423949,-122.38573118327052
"restroom",37.808738,-122.412697
"restroom",37.751489051685674,-122.43921687699716
"restroom",37.74402066778578,-122.44026812980984
"restroom",37.78422005104755,-122.50182639926257
"drinking_water",37.76633375,-122.45492152
"restroom",37.747814884292936,-122.4384316905048
"drinking_water",37.77057774,-122.45868065
"drinking_water",37.73800244,-122.4983337
"drinking_water",37.73679298,-122.48263592
"drinking_water",37.728907080000006,-122.40968716
"drinking_water",37.77297409,-122.49900826999999
"restroom",37.735993787219805,-122.48720705541815
"restroom",37.77005238059479,-122.45956331931362
"restroom",37.76953433640059,-122.48470857635463
"restroom",37.73617234504192,-122.4779173153289
"restroom",37.76980758446106,-122.46865066589551
"restroom",37.760245264681615,-122.50956649424046
"drinking_water",37.80253081500007,-122.41313485899997
"restroom",37.772263616096396,-122.49713282663765
"drinking_water",37.714021869999996,-122.42315071
"restroom",37.77020104717313,-122.4955921142364
"restroom",37.71274482391884,-122.40868229341584
"restroom",37.72509664467659,-122.4740986263154
"restroom",37.779601550461045,-122.47777275744839
"drinking_water",37.78078552,-122.42681555
"restroom",37.76851881812115,-122.46559954560792
"drinking_water",37.71638274,-122.45820801
"drinking_water",37.71503456000001,-122.45754731999999
"drinking_water",37.76634792,-122.47663375
"restroom",37.7850978,-122.4125547
"restroom",37.7715225693754,-122.47202101043585
"drinking_water",37.781263429999996,-122.4251937
"drinking_water",37.776332,-122.388487
"restroom",37.72556145806361,-122.39303328506477
"drinking_water",37.75122405800005,-122.49810319699998
"drinking_water",37.7869717,-122.46793153
"drinking_water",37.80103021,-122.41062973
"drinking_water",37.74695644,-122.43891311
"restroom",37.75150426311053,-122.42887877902629
"restroom",37.77313632980181,-122.39368445415782
"drinking_water",37.714327090000005,-122.44986995
"restroom",37.70950402468936,-122.44706570405378
"drinking_water",37.769406169999996,-122.43356965
"restroom",37.79427381465303,-122.41169060223633
"drinking_water",37.782865640000004,-122.43452278
"drinking_water",37.712719539999995,-122.40869124000001
"drinking_water",37.79437397,-122.41185104
"restroom",37.74168341043762,-122.4653079501994
"drinking_water",37.78248808,-122.43558809000001
"restroom",37.71718343500864,-122.38878587677975
"restroom",37.75156403315574,-122.46522255072964
"restroom",37.7844142,-122.4077797
"restroom",37.77608607438947,-122.43432885373569
"restroom",37.78474133539745,-122.41569209429984
"drinking_water",37.732484671000066,-122.39108620099995
"restroom",37.7708518,-122.4403874
"drinking_water",37.744233,-122.398524
"restroom",37.741426624578615,-122.50707979596514
"restroom",37.7603081,-122.5091618
"drinking_water",37.764739729999995,-122.39131882
"drinking_water",37.737780699999995,-122.48449475
"restroom",37.79897,-122.39703
"restroom",37.75611926407427,-122.39696359457825
"drinking_water",37.71360481,-122.43296598
"restroom",37.75774134081306,-122.41510303771898
"restroom",37.71394326427549,-122.41637790217736
"restroom",37.75706028122408,-122.4869080712594
"restroom",37.7665961,-122.4210799
"drinking_water",37.72659366900007,-122.47449376899999
"restroom",37.78501370787081,-122.4845445288129
"restroom",37.80648339185096,-122.43453399335982
"drinking_water",37.7464289,-122.43829271
"drinking_water",37.76460916,-122.40948568
"restroom",37.803552471257035,-122.42124359250042
"drinking_water",37.719071,-122.393147
"drinking_water",37.7406401,-122.43528427999999
"restroom",37.788483152167615,-122.44983022083373
"restroom",37.790166,-122.388767
"restroom",37.76797548977512,-122.50181865799595
"drinking_water",37.74671,-122.38634
"drinking_water",37.76530923000001,-122.44029271000001
"drinking_water",37.79101427,-122.42734389
"restroom",37.76823041384297,-122.46214572877334
"drinking_water",37.769266,-122.385705
"restroom",37.78369098827751,-122.4511354376156
"drinking_water",37.79403249,-122.41743067
"drinking_water",37.76632519,-122.46658708999999
"restroom",37.71773927453103,-122.47015597688879
"drinking_water",37.77256947,-122.46434063999999
"restroom",37.801064242552535,-122.41063428491249
"drinking_water",37.7515012,-122.42887882
"drinking_water",37.75945608,-122.42710371999999
"restroom",37.76376981288262,-122.43858249636831
"drinking_water",37.879441379999996,-119.8540079
"drinking_water",37.7759467,-122.42445426
"restroom",37.765187,-122.4083365
"restroom",37.784313315771854,-122.41181377502643
"drinking_water",37.7809272,-122.419371
"drinking_water",37.73177922000001,-122.3812578
